modern;traditional
bona fide;по со́вѣсти, и́скренно (лат.)
bon gré, mal gré;во́лей-нево́лей (фр.)
bonne mine au mauvais jeu;умѣ́ть иску́сно скрыва́ть доса́ду, неудово́льствіе (фр.)
bon-mot;о́строе словцо́ (фр.)
bon ton;хоро́шій тонъ (фр.)
boutons d'amour;«пры́щики любви́», появля́ющіеся на лицѣ́ въ пері́одѣ полово́й зрѣ́лости (фр.)
brevi manu;безъ форма́льностей, ко́ротко (лат.)
cavalier galant;гала́нтный кавале́ръ, да́мскій уго́дникъ (фр.)
ça ira;ла́дно! не робѣ́й! (фр.)
cantabile;муз. — пѣву́че (ит.)
capriccioso;муз. — прихотли́во (ит.)
carpe diem;по́льзуйся мину́той, срыва́й цвѣты́ удово́льствія (лат.)
carte blanche;по́лная свобо́да дѣ́йствій (фр.)
Carthago delenda est;«Карѳаге́нъ до́лженъ быть разру́шенъ» (лат.)
casta est quam nemo rogavit;«цѣлому́дренна та, кото́рой никто́ не домога́лся» (лат.)
casus belli;по́водъ къ объявле́нію войны́ (лат.)
casus foederis;«слу́чай догово́ра» (лат.)
cause célèbre;сенсаціо́нное суде́бное дѣ́ло (фр.)
caveant consules;«пусть ко́нсулы бо́дрствуютъ!» — гляди́ въ о́ба! (лат.)
C-dur;мажо́рная га́мма съ основны́мъ то́номъ C (муз.)
censeo, Carthaginem esse delendam;«Карѳаге́нъ до́лженъ быть разру́шенъ» (лат.)
cercle vicieux;«поро́чный кругъ» (фр.)
ceteris paribus;«при про́чихъ ра́вныхъ усло́віяхъ» (лат.)
chacun à son goût;всякъ поступа́етъ по своему́ вку́су (фр.)
chaîne;фигу́ра въ та́нцахъ, когда́ танцу́ющіе, проходя́ ми́мо, подаю́тъ другъ дру́гу ру́ки (фр.)
chaise longue;куше́тка (фр.)
chargé d'affaire;уполномо́ченный по дѣла́мъ (фр.)
charité;благотвори́тельное учрежде́ніе, богадѣ́льня (фр.)
charmant;ми́ло! преле́стно! (фр.)
chef d'oeuvre;образцо́вое произведе́ніе (фр.)
cher ami;дорого́й другъ (фр.)
chercher midi à quatorze heures;иска́ть вчера́шняго дня (фр.)
cherchez la femme;«ищи́те же́нщину» (фр.)
chevalier d'honneur;придво́рный кавале́ръ (фр.)
chevalier d'industrie;проходи́мецъ, пройдо́ха (фр.)
circulus vitiosus;«поро́чный кругъ» (лат.)
citato loco;въ ука́занномъ мѣ́стѣ, тамъ же (лат.)
cocu;обма́нутый мужъ, рогоно́сецъ (фр.)
code civil;гражда́нское уложе́ніе (фр.)
code criminel;уголо́вное уложе́ніе (фр.)
cogito, ergo sum;«я мы́слю, слѣ́довательно я существу́ю» — основно́е нача́ло филосо́фіи Дека́рта (лат.)
coitus;сои́тіе (лат.)
comme il faut;какъ слѣ́дуетъ, прили́чно (фр.)
comme un rocher de bronze;(непоколеби́мъ) подо́бно бро́нзовой скалѣ́ (фр.)
commis voyageur;коммивояжёръ (фр.)
common law;обы́чное пра́во (англ.)
comparaison n'est pas raison;сравне́ніе не есть доказа́тельство (фр.)
compte-rendu;отчётъ (фр.)
concordia parvae res crescunt, discordia maximae dilabuntur;въ гармо́ніи ма́лыя ве́щи расту́тъ, въ противорѣ́чіи да́же са́мыя больші́я испаря́ются (лат.)
conditio sine qua non;необходи́мое усло́віе (лат.)
contradictio in adjecto;вну́треннее противорѣ́чіе ме́жду опредѣле́ніемъ и опредѣля́емымъ (лат.)
contraria contrariis curantur;противополо́жное излѣ́чивается противополо́жнымъ (лат.)
corpus delicti;соста́въ преступле́нія (лат.)
coup de maître;мастерско́й пріёмъ (фр.)
coup d'état;госуда́рственный переворо́тъ (фр.)
coup de théâtre;неожи́данный слу́чай (фр.)
Credo;"1) «Вѣ́рую» — сѵ́мволъ вѣ́ры; 2) тре́тья часть католи́ч. ме́ссы (лат.)"
credo quia absurdum;«вѣ́рю, ибо это нелѣ́по» (лат.)
crême brulée;кремъ, припра́вленный жжёнымъ са́харомъ (фр.)
crimen laesae majestatis;преступле́ніе, оскорбле́ніе вели́чества (лат.)
crescendo;муз. — въ возраста́ющей сте́пени, уси́ливая (ит.)
cum grano salis;«съ щепо́ткой со́ли» — скепти́чески (лат.)
curriculum vitae;кра́ткое жизнеописа́ніе (лат.)
da ist der Hund begraben;«вотъ гдѣ соба́ка зары́та» — вотъ въ чёмъ суть (нѣм.)
da capo;муз. — снача́ла (ит.)
dal segno;муз. — но́тный знакъ повто́ра отъ извѣ́стнаго мѣ́ста (ит.)
dame de compagnie;компаньо́нка (фр.)
danse macabre;пля́ска мертвецо́въ (фр.)
das ist eine alte Geschichte;это ста́рая исто́рія (нѣм.)
D-dur;мажо́рная га́мма съ основны́мъ то́номъ D (муз.)
Dei gratia;Бо́жіей ми́лостью (лат.)
decrescendo;муз. — постепе́нно ослабля́я звукъ (ит.)
de facto;на дѣ́лѣ (лат.)
de gustibus non est disputandum;о вку́сахъ не спо́рятъ (лат.)
déjeuner;за́втракъ (фр.)
déjà vu;дежавю́ (уже́ ви́дѣнное) — психи́ческое состоя́ніе воспрія́тія происходя́щаго сейча́съ, какъ уже́ случа́вшагося въ про́шломъ (фр.)
de jure;по зако́ну, по пра́ву (лат.)
delenda Carthago;«Карѳаге́нъ до́лженъ быть разру́шенъ» (лат.)
delirium tremens;бѣ́лая горя́чка (лат.)
demi-monde;полусвѣ́тъ (фр.)
de minimus non curat lex;зако́нъ не забо́тится о мелоча́хъ (лат.)
de mortius aut bene aut nihil;о мёртвыхъ мо́жно говори́ть то́лько хоро́шее (лат.)
Deo juvante;съ Бо́жіей по́мощью (лат.)
de plano;легко́, безъ затрудне́ній (лат.)
de profundis;католи́ч. заупоко́йный гимнъ (лат.)
de rerum natura;о приро́дѣ веще́й (лат.)
destra mano;муз. — пра́вой руко́й (ит.)
de te fabula narratur;о тебѣ́ идётъ рѣчь (лат.)
determinato;муз. — рѣши́тельно, твёрдо (ит.)
deus ex machina;неожи́данный вы́ходъ изъ затрудни́тельнаго положе́нія (лат.)
deus vult;«э́того хо́четъ Богъ» (лат.)
de visu;на основа́ніи ви́дѣннаго (лат.)
dies irae;«день гнѣ́ва» (лат.)
dii minorum gentium;ни́же по обще́ственному положе́нію (лат.)
diminuendo;муз. — уменьша́я темпъ и ослабля́я звукъ (ит.)
divide et impera;«раздѣля́й и вла́ствуй» (лат.)
dixi;я всё сказа́лъ (лат.)
dixi et animam salvavi;сказа́лъ и облегчи́лъ ду́шу (лат.)
dolce;муз. — нѣ́жно, сла́дко (ит.)
dolce far niente;прія́тное ничегонедѣ́ланіе (ит.)
doloroso;муз. — ско́рбно (ит.)
Dominus vobiscum;«Госпо́дь съ ва́ми!» (лат.)
do ut des;даю, что́бы и ты мнѣ далъ (лат.)
dubia;сомни́тельное (лат.)
dura lex sed lex;хоть и суро́въ зако́нъ, но онъ — зако́нъ (лат.)
duro;муз. — гру́бо, жёстко (лат.)
eau de cologne;одеколо́нъ (фр.)
ecce homo;«се человѣкъ!» — слова́ Пила́та къ наро́ду, когда́ пе́редъ нимъ былъ вы́веденъ Христо́съ въ терно́вомъ вѣнцѣ́ (лат.)
egalité;ра́венство (фр.)
ego;я (лат.)
eh bien;ну, что же? ну, ла́дно! (фр.)
emancipée;ирони́ч. — же́нщина, свобо́дная отъ предразсу́дковъ (фр.)
embarras de richesses;чрезмѣ́рное изоби́ліе, ста́вящее въ затрудне́ніе (фр.)
E-mol;мино́рная га́мма съ основны́мъ то́номъ E (муз.)
en arrière!;наза́дъ! (фр.)
en avant!;вперёдъ! (фр.)
en bloc;цѣлико́мъ, всё вмѣ́стѣ (фр.)
en cannaille;«какъ съ живо́тнымъ» — пренебрежи́тельно-гру́бое отноше́ніе къ друго́му (фр.)
en detail;по ме́лочи, въ ро́зницу (фр.)
en face;пря́мо въ лицо́ (фр.)
en famille;по-семе́йному (фр.)
enfant terrible;«ужа́сный ребёнокъ» — бѣдо́вый человѣ́къ (фр.)
en flagrant délit;на мѣ́стѣ преступле́нія (фр.)
en grand;въ больши́хъ размѣ́рахъ (фр.)
en gros;о́птомъ (фр.)
en masse;въ большо́мъ коли́чествѣ, толпо́ю (фр.)
en miniature;въ ма́ломъ размѣ́рѣ (фр.)
en passant;мимохо́домъ (фр.)
en permanence;безпреры́вно (фр.)
en profil;сбо́ку (фр.)
entente cordiale;серде́чное согла́сіе (фр.)
en tout cas;во вся́комъ слу́чаѣ (фр.)
entrée;"1) входъ; 2) заку́ска на пара́дныхъ обѣ́дахъ (фр.)"
entre nous, entre nous soit dit;ме́жду на́ми будь ска́зано (фр.)
entrez!;войди́те! (фр.)
eo ipso;тѣмъ са́мымъ, въ си́лу и́менно э́того (лат.)
eppur si muove!;«а всё-таки дви́жется» — восклица́ніе Галиле́я (ит.)
ergo;слѣ́довательно (лат.)
errare humanum est;человѣ́ку сво́йственно ошиба́ться (лат.)
errata;оши́бки, опеча́тки (лат.)
espressivo;вырази́тельно (ит.)
esse oportet ut vivas, non vivere ut edas;на́до ѣсть, что́бы жить, а не жить, что́бы ѣсть (лат.)
est modus in rebus;всему́ есть мѣ́ра (лат.)
etats généraux;во Фра́нціи — генера́льные шта́ты (фр.)
et alii;и другі́е соа́вторы — et al. (лат.)
et cetera;и проч. — etc. (лат.)
et tu, Brute?;и ты, Брутъ? (лат.)
evoe!;изступлённый во́згласъ вакха́нокъ въ че́сть Ба́хуса (лат.)
evviva!;да здра́вствуетъ! (ит.)
ex;приста́вка, означ. «бы́вшій», напр., ex-депута́тъ — бы́вшій депута́тъ (лат.)
ex abrurto;съ плеча́, неожи́данно (лат.)
ex adverso;доказа́тельство отъ проти́внаго (лат.)
ex cathedra;съ высоты́ ка́ѳедры, непререка́емо (лат.)
excellence;превосходи́тельство (фр.)
exempli gratia;напримѣ́ръ — e. g. (лат.)
excitare fluctus in simpulo;«поднима́ть бу́рю въ стака́нѣ» (лат.)
ex libris;изъ книгъ (лат.)
ex nihilo nihil;изъ ничего́ ничто́ и получа́ется (лат.)
ex officio;по обя́занности, по до́лжности (лат.)
experimentum crucis;«о́пытъ креста́», рѣша́ющій экспериме́нтъ (лат.)
ex professio;съ по́лнымъ зна́ніемъ дѣ́ла (лат.)
extra;чрезвыча́йно, необыкнове́нно (лат.)
extra ecclesiam nulla salus;внѣ це́ркви нѣтъ спасе́нія (лат.)
ex ungue leonem;по когтя́мъ мо́жно узна́ть льва (лат.)
ex voto;по обѣ́ту (лат.)
façon de parler;мане́ра выража́ться (фр.)
fait accompli;соверши́вшійся фактъ (фр.)
far niente;прія́тное бездѣ́лье (ит.)
faute de mieux;за неимѣ́ніемъ лу́чшаго (фр.)
faut pas;ло́жный шагъ (фр.)
febris;лихора́дка (лат.)
feci quod potui;я сдѣ́лалъ всё, что могъ (лат.)
fecit;«сдѣ́лалъ» — на́дпись на карти́нахъ и ста́туяхъ пе́редъ и́менемъ худо́жника (лат.)
femme de chambre;го́рничная (фр.)
fermamente;муз. — твёрдо, си́льно (ит.)
fermo;муз. — твёрдо, си́льно (ит.)
festina lente;«спѣши́ ме́дленно», ти́ше ѣ́дешь — да́льше бу́дешь, поспѣши́шь — люде́й насмѣши́шь (лат.)
festivamente;муз. — торже́ственно (ит.)
fiat justitia, pereat mundus;да сверши́тся правосу́діе, хотя́ бы поги́бъ міръ! (лат.)
fiat lux!;да бу́детъ свѣ́тъ! (лат.)
fiat voluntas tua!;да бу́детъ во́ля твоя́! (лат.)
fidei defensor;«защи́тникъ вѣ́ры» (лат.)
fin de siècle;«коне́цъ вѣ́ка» — послѣ́дній крикъ мо́ды (фр.)
finis;коне́цъ (лат.)
finis coronat opus;коне́цъ вѣнча́етъ дѣ́ло (лат.)
finita la comedia;"ко́нчена коме́дія; ко́нчено! (ит.)"
five o'clock tea;послѣобѣ́денный чай (англ.)
flagrante delicto;на мѣ́стѣ преступле́нія (лат.)
fondamento;муз. — основно́й басъ (ит.)
force majeure;непреодоли́мая си́ла (фр.)
foreign office;министе́рство иностра́нныхъ дѣлъ въ Великобрита́ніи (англ.)
forte;муз. — гро́мко, си́льно (ит.)
fortissimo;муз. — о́чень гро́мко (ит.)
franco;свобо́дно, безпо́шлинно (ит.)
fraternité;бра́тство (фр.)
Frau;"же́нщина; госпожа́ (нѣм.)"
Fräulein;"дѣ́вушка; ба́рышня (нѣм.)"
fuimus Troes, fuit Ilium;«бы́ли мы троя́нцами, былъ Иліо́нъ» — бы́ли и мы когда́-то рысака́ми (лат.)
fuocoso;муз. — съ жа́ромъ (ит.)
frère;брать (фр.)
furioso;муз. — бу́рно, стра́стно (ит.)
gala;торжество́, пра́зднество (фр.)
galant homme;человѣ́къ вѣ́жливый, то́нкихъ мане́ръ (фр.)
galantuomo;ры́царь (ит.)
gaudeamus igitur;«бу́демъ же весели́ться!» — изъ студе́нч. пѣ́сни (лат.)
G-dur;мажо́рная га́мма съ основны́мъ то́номъ G (муз.)
gentilhomme;дворяни́нъ, джентльме́нъ (фр.)
glissando;муз. — скользя́ по стру́намъ и́ли кла́вишамъ (ит.)
gloria;сла́ва (лат.)
goddam;чортъ возьми́! (англ.)
God save the King (the Queen);Бо́же, храни́ короля́ (и́ли короле́ву) — англі́йскій націона́льный гимнъ (англ.)
grande dame;ва́жная ба́рыня (фр.)
grandioso;муз. — вели́чественно (ит.)
grand merci;о́чень вамъ благода́ренъ (фр.)
grand seigneur;зна́тный господи́нъ (фр.)
gratis;да́ромъ, безпла́тно (фр.)
grave;муз. — ва́жно, чи́нно, степе́нно (ит.)
gutta cavat lapidem non vi, sed saepe cadendo;ка́пля долби́тъ ка́мень не си́лою, но ча́стымъ паде́ніемъ (лат.)
habeas corpus;англі́йскій зако́нъ о неприкоснове́нности ли́чности (лат.)
habeant sua fata libelli;«кни́ги имѣ́ютъ свою́ судьбу́», ча́сто зави́сящую отъ слу́чая (лат.)
habitué;завсегда́тай (фр.)
habitus;внѣ́шній видъ человѣ́ка (лат.)
hands off!;ру́ки прочь! (англ.)
haute banque;фина́нсовая аристокра́тія (фр.)
haute nouveauté;послѣ́днія но́вости мо́ды (фр.)
high life;вы́сшее англі́йское о́бщество (англ.)
Hoch;ура́! (нѣм.)
homo homini lupus est;человѣ́къ человѣ́ку волкъ (лат.)
homo novus;«но́вый человѣ́къ» — вы́скочка (лат.)
homo sapiens;человѣ́къ разу́мный (лат.)
homo sum, humani nihil a me alienum puto;человѣ́къ есмь, и ничто́ человѣ́ческое мнѣ не чу́ждо (лат.)
honoris causa;"«изъ че́сти»; сте́пень h. c. — почётная сте́пень (лат.)"
horribile dictu;стра́шно сказа́ть (лат.)
hôtel de ville;зда́ніе городско́го управле́нія (фр.)
hôtel garni;меблиро́ванныя ко́мнаты (фр.)
ibidem;та́мъ же — ibid. (лат.)
idee fixe;неотвя́зчивая мысль (фр.)
idem;та́мъ же, то же са́мое (лат.)
idem per idem;опять то же са́мое (лат.)
id est;то́-есть — i. e. (лат.)
Iesus Nazarenus, Rex Iudaeorum;Іису́съ Назаря́нинъ, Царь Іуде́йскій (лат.)
igni et ferro;огнёмъ и желѣ́зомъ (лат.)
ignoramus et ignorabimus;не зна́емъ и не узна́емъ (лат.)
ignoratio elenchi;подмѣ́на те́зиса (лат.)
imitando;муз. — подража́я (ит.)
impeto;муз. — бу́рно, пы́лко (ит.)
impetuoso;муз. — бу́рно, пы́лко (ит.)
impromptu;"сдѣ́ланный на́скоро, безъ подгото́вки; экспро́мптъ (фр.)"
in abstracto;вообще́, само́ по себѣ́ (лат.)
in brevi;вкра́тцѣ (лат.)
in coena domini;за тра́пезой Госпо́дней (лат.)
in corpore;въ по́лномъ соста́вѣ (лат.)
inde ira;вотъ въ чёмъ причи́на гнѣ́ва (лат.)
in dubio;въ сомнѣ́ніи (лат.)
in effigie;въ изображе́ніи, зао́чно (лат.)
in extenso;въ по́длинной переда́чѣ, досло́вно (лат.)
in extremis;въ послѣ́дній моме́нтъ (лат.)
in flagrante delicto;въ пыла́ющемъ преступле́ніи (лат.)
in-folio;въ форма́тѣ полулиста́ (лат.)
ingénue;роль просту́шки на сце́нѣ (фр.)
in hoc signo vinces;симъ побѣди́ши (лат.)
in loco;на мѣ́стѣ (лат.)
in medias res;пря́мо къ су́ти дѣ́ла (лат.)
in natura;въ дѣйстви́тельности, по существу́ (лат.)
in octavo;въ форма́тѣ 1/8 листа́ (лат.)
in pace;въ ми́рѣ (лат.)
in partibus infidelium;въ странѣ́ невѣ́рныхъ (лат.)
in petto;про себя́, не сообща́я никому́ (ит.)
in pleno;въ по́лномъ соста́вѣ (лат.)
in quatro;въ форма́тѣ 1/4 листа́ (лат.)
in saecula saeculorum;во вѣ́ки вѣко́въ (лат.)
in situ;на мѣ́стѣ (лат.)
in spe;въ наде́ждѣ (лат.)
in statu quo;въ пре́жнемъ положе́ніи (лат.)
in statu nascendi;въ моме́нтъ зарожде́нія, образова́нія (лат.)
inter arma silent leges;гдѣ слы́шенъ звонъ ору́жія, тамъ зако́нъ безмо́лвствуетъ (лат.)
inter arma tacent musae;во вре́мя войны́ му́зы безмо́лвствуютъ (лат.)
in usu;въ употребле́ніи (лат.)
in usum Delphini;для ю́ношества (лат.)
in vino veritas;въ винѣ́ пра́вда, вино́ развя́зываетъ язы́къ (лат.)
ipso facto;въ си́лу очеви́дности (лат.)
ipso jure;въ си́лу зако́на (лат.)
is fecit cui prodest;тотъ сдѣ́лалъ, кому́ э́то вы́годно (лат.)
Italia fara da se;Ита́лія ни въ комъ не нужда́ется! (ит.)
item;та́кже (лат.)
iura novit curia;судъ зна́етъ зако́ны (лат.)
jeu d'esprit;игра́ ума́ (фр.)
jeu de mots;игра́ сло́въ (фр.)
jeunesse dorée;золота́я молодёжь (фр.)
jour-fixe;журфи́ксъ (фр.)
jurare in verba magistri;кля́сться слова́ми учи́теля (лат.)
jus gentium;наро́дное пра́во (лат.)
jus primae noctis;пра́во пе́рвой но́чи (лат.)
jus privatum;ча́стное пра́во (лат.)
jus primi possidentis;пра́во пе́рваго владѣ́льца, т. е. пе́рваго, завладѣ́вшаго чѣмъ-либо (лат.)
jus publicum;публи́чное пра́во (лат.)
jus sanguinis;пра́во кро́ви (лат.)
jus soli;пра́во земли́ (лат.)
juste milieu;золота́я середи́на (фр.)
Kulturkampf;борьба́ съ духове́нствомъ за свѣ́тское прогресси́вное нача́ло (нѣм.)
laesae majestatis;оскорбле́ніе вели́чества (лат.)
laissez faire, laissez passer;«не стѣсня́йте ни въ чёмъ свобо́ды» — основно́й при́нципъ манче́стерской шко́лы (фр.)
lapis philosophorum;филосо́фскій ка́мень (лат.)
lapsus calami;"опи́ска; про́махъ а́втора (лат.)"
lapsus linguae;"обмо́лвка; оши́бка въ разгово́рѣ (лат.)"
larghissimo;муз. — о́чень ме́дленно (ит.)
largo;муз. — ме́дленно (ит.)
lasciate ogni speranza voi ch'entrate;«оста́вь наде́жду всякъ, сюда́ входя́щій!» — на́дпись надъ врата́ми ада (ит.)
last, but not least;послѣ́дній, но не са́мый ху́дшій (англ.)
lazzaroni;бездо́мный (ит.)
legato;муз. — свя́зно, непреры́вно (ит.)
Légion d'honneur;о́рденъ Почётнаго легіо́на во Фра́нціи (фр.)
lento;муз. — ме́дленно, протя́жно (ит.)
le roi regne, mais ne gouverne pas;«коро́ль ца́рствуетъ, но не пра́витъ» — при́нципъ конституціо́нныхъ госуда́рствъ (фр.)
le roi est mort, vive le roi!;«коро́ль у́меръ, да здра́вствуетъ коро́ль!» (фр.)
lèse majesté;оскорбле́ніе вели́чества (фр.)
lesto;муз. — ско́ро, бѣ́гло (ит.)
le style — c'est l'homme;въ сло́гѣ вылива́ется хара́ктеръ человѣ́ка (фр.)
